,PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO,firstsummitdate,Unnamed: 0,accuracy,formatted_address,google_place_id,latitude,longitude,number_of_results,postcode,status,type
342,BIJO,Bijora Hiunchuli,,Jagdula Lekh (S of Kande Huinchuli),6111,20049,10,7,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,342,,,,29.291944,82.530833,0,,ZERO_RESULTS,
343,CHUB,Chhuboche,,Damodar Himal (NNE of Pisang Peak),5606,18392,3,5,True,False,False,,,1,2,,2013,3,CHUB13301,Nov 16,UK,"Brian Jackson, Hugh Wrightson, Pasang Sherpa, Tendi Wangya",,,,Nov 16 2013,343,,,,28.720278,84.2375,0,,ZERO_RESULTS,
344,LUNW,Lunag West,,Rolwaling Himal (W of Lunag I on Tibetan border),6492,21299,19,2,False,True,False,,Requires permit for Jobo Rinjang,4,2,,2013,3,LUNW13301,Oct 22,USA,"Scott Adamson, Chris Wright",,,,Oct 22 2013,344,GEOMETRIC_CENTER,"Lunar Ct, West Lafayette, IN 47906, USA",ChIJYxU7x3v8EogR5Pr_Zozy26s,28.05,86.536,1,47906,OK,route
345,DOMO,Domo,Jongsang SE Peak,Jongsang Himal (SE of Jongsong on Indian border),7447,24432,7,1,False,True,False,,,5,2,,1930,1,DOMO30101,Jun 08,"Germany, Nepal","Guenter Dyhrenfurth, Lewa Sherpa",,,,Jun 08 1930,345,ROOFTOP,"6322 Brookside Plaza, Kansas City, MO 64113, USA",ChIJLQIMMw7vwIcRd16YUf_6sFE,27.8833,88.15,1,64113,OK,"bar,establishment,food,point_of_interest,restaurant"
346,LUN2,Lunag II,,Rolwaling Himal (SW of Nangpa La near Tibetan border),6812,22349,19,2,False,True,False,,Requires permit for Jobo Rinjang,1,2,,2010,3,LUN210301,Oct 26,France,"Mathieu Detrie, Max Belleville, Mathiew Maynadier, Sebastien Ratel",,,,Oct 26 2010,346,GEOMETRIC_CENTER,"Lunar St, Scottsburg, IN 47170, USA",ChIJP1enwPvaa4gRDVaZdO3kNyU,,,10,47170,OK,route
347,TRIA,Triangle Peak,,Jugal Himal (NNW of Dome Blanc on Tibetan border),6484,21273,8,3,False,True,False,,,4,2,,2013,3,TRIA13301,Oct 09,France,"Sebastien Moatti, Max Bonniot",Climbed from Tibetan side,,,Oct 09 2013,347,,,,,,0,,ZERO_RESULTS,
348,KASI,Kasi Dalpha,,Jagdula Lekh (S of Kande Huinchuli),6386,20951,10,7,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,348,,,,29.283056,82.554722,0,,ZERO_RESULTS,
349,NPHU,Narphu,,"Damodar Himal (WNW of Pisang Peak, E of Chulu East Peak)",5921,19426,3,5,True,False,False,,,1,2,,2014,3,NPHU14301,Nov 22,"UK, Nepal","Brian Jackson, Heather Bentley, Catherine Husted, Dawn Richardson, James Salt, Rhiannon Thomson, Mingma Dorje Sherpa, Pasang Sherpa Shikhar Pandey",1st official ascent,,,Nov 22 2014,349,APPROXIMATE,"Narphu, Bhutan",ChIJQ5E_XkqNWzcRn5Mbr16BzJI,28.659722,84.174444,1,,OK,"locality,political"
350,POTA,Pota Himal North,Peak Hawley,Dhaulagiri Himal (NE of Putha Hiunchuli),6182,20282,4,6,True,False,False,,Opened in 2014,1,2,,2008,1,POTA08101,May 09,France,Francois Damilano,,,,May 09 2008,350,GEOMETRIC_CENTER,"Jessore Road, Madhyamgram, Vivekananda Nagar, Madhyamgram, Near Badu Road Crossing, West Bengal 700129, India",ChIJ8fvgsEWf-DkRIDmMGOuwIiY,28.775833,83.1975,1,700129,OK,"establishment,point_of_interest"
351,PANN,Pangbuk North,Jobo LeCoultre,Rolwaling Himal (NE of Pangbuk Ri on Tibetan border),6478,21253,19,2,False,True,False,,,4,2,,2013,3,PANN13301,Nov 01,USA,"Scott Adamson, Christopher Wright",,,,Nov 01 2013,351,,,,,,0,,ZERO_RESULTS,
352,MUST,Mustang Himal,,Mustang Himal (S of Mansail on Tibetan border),6195,20325,16,6,True,False,False,,Opened in 2014,1,2,,2014,3,MUST14301,Nov 02,USA,"Melissa Arnot, Ben Jones, Jon Mancuso",,,,Nov 02 2014,352,APPROXIMATE,"Mustangbhot Himal, Zhongba, Xigaze, China, 33100",ChIJfcKeTKdXvjkRIZjh7UVqpB0,29.286111,83.81,1,33100,OK,"establishment,natural_feature"
353,MNSL,Mansail,Manshail,Mustang Himal (NW of Lo Manthang on Tibetan border),6235,20456,16,6,True,False,False,,Opened in 2014,1,2,,2014,3,MNSL14301,Sep 29,Japan,"Yukiko Inoue, Eri Hasegawa, Mariko Nakamura, Kei Taniguchi",,,,Sep 29 2014,353,GEOMETRIC_CENTER,"Boat Harbour NSW 2316, Australia",ChIJJ7Udjs2Cc2sR6-XoNpj8BYU,29.301944,83.810278,1,2316,OK,"bus_station,establishment,point_of_interest,transit_station"
354,CPHU,Chhochenphu Himal,,Ohmi Kangri Himal (SW of Pabuk Kang near Tibetan border),6260,20538,6,1,True,False,False,,Opened in 2014,1,1,,0,0,,,,Unclimbed,,,,,354,,,,27.831944,87.767222,0,,ZERO_RESULTS,
355,TANK,Tankya I,,Kanti Himal (NE of Mariyang on Tibetan border),6305,20686,11,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,355,GEOMETRIC_CENTER,"86/20 ซอยหอพักคุณหญิงอิศรา ถนนงามวงศ์วาน ซอยงามวงศ์วาน 46, ลาดยาว, จตุจักร, Bangkok 10900, Thailand",ChIJY8aAXOac4jARx49VBachRLo,29.706111,82.916944,1,10900,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store"
356,GORK,Gorakh Khang,,Gorakh Khang (ENE of Simikot on Tibetan border),6254,20518,17,7,True,False,False,,Opened in 2014,4,1,,0,0,,,,Unclimbed,,,,,356,,,,30.044167,82.3375,0,,ZERO_RESULTS,
