,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
243,APPROXIMATE,"Christchurch, New Zealand",ChIJAe3FY0gvMm0RRZl5hIbvAAU,"Christchurch, New Zealand",-43.5320544,172.6362254,1,,OK,"locality,political"
244,APPROXIMATE,"Ipswich QLD 4305, Australia",ChIJF8nOI8u1lmsREIze81qjAgU,"Ipswich, QLD, Australia",-27.623,152.76,1,4305,OK,"locality,political"
245,APPROXIMATE,"Nairobi, Kenya",ChIJp0lN2HIRLxgRTJKXslQCz_c,"Nairobi, Kenya",-1.2920659,36.8219462,1,,OK,"locality,political"
246,APPROXIMATE,"Folsom, CA, USA",ChIJf3rZiRvhmoARKs7hMS5MTtQ,"Folsom, California",38.6779591,-121.1760583,1,,OK,"locality,political"
247,APPROXIMATE,"Nairobi, Kenya",ChIJp0lN2HIRLxgRTJKXslQCz_c,"Nairobi, Kenya",-1.2920659,36.8219462,1,,OK,"locality,political"
248,APPROXIMATE,"North Sydney NSW 2060, Australia",ChIJ2b2yeLWvEmsRQMQyFmh9AQU,"North Sydney, NSW, Australia",-33.83965,151.20541,1,2060,OK,"locality,political"
249,APPROXIMATE,"Albany, CA, USA",ChIJPQVb0tJ4hYARLxEHP9E4sNU,"Albany, California",37.88687,-122.2977475,1,,OK,"locality,political"
250,APPROXIMATE,"39030 Ahrntal, Province of Bolzano - South Tyrol, Italy",ChIJQ8KNloXtd0cRkDaRFYcJBwQ,"Ahrntal, Bolzano, Italy",47.0020051,11.933166,1,39030,OK,"administrative_area_level_3,political"
251,APPROXIMATE,"Heidelberg, Germany",ChIJzdzMDgXBl0cR1zokRADq5u8,"Heidelberg, Baden-Wuerttemberg, W Germany",49.3987524,8.6724335,1,,OK,"locality,political"
252,APPROXIMATE,"6290 Mayrhofen, Austria",ChIJbzLYLzjdd0cRDtGuTzM_vt4,"Mayrhofen, Tirol, Austria",47.1691898,11.8651456,1,6290,OK,"locality,political"
253,APPROXIMATE,"Lampertheim, Germany",ChIJ-X05jYfTl0cRgJmwKVBDIgQ,"Lampertheim, Hesse, W Germany",49.5997267,8.466599,1,,OK,"locality,political"
254,APPROXIMATE,"Lampertheim, Germany",ChIJ-X05jYfTl0cRgJmwKVBDIgQ,"Lampertheim, Hesse, W Germany",49.5997267,8.466599,1,,OK,"locality,political"
255,APPROXIMATE,"Uderns, Austria",ChIJa42Jub3Qd0cRtfzg-YEfTIE,"Uderns, Tirol, Austria",47.3229206,11.8642098,1,,OK,"locality,political"
256,APPROXIMATE,"Norwich, UK",ChIJE_UzUdWq0EcRL0USDuClTGg,"Norwich, England",52.6308859,1.297355,1,,OK,"locality,political"
257,APPROXIMATE,"Zell am Ziller, Austria",ChIJNaf0qlnbd0cRAJnmLVeXAAQ,"Zell am Ziller, Tirol, Austria",47.2333597,11.8818949,1,,OK,"locality,political"
258,APPROXIMATE,"Munich, Germany",ChIJ2V-Mo_l1nkcRfZixfUq4DAE,"Munich, Bavaria, W Germany",48.1351253,11.5819805,1,,OK,"locality,political"
259,APPROXIMATE,"39031 Bruneck, Province of Bolzano - South Tyrol, Italy",ChIJXZs5jCQgeEcRKRh-7-QPkNg,"Brunico, Bolzano, Italy",46.7965736,11.9380416,1,39031,OK,"locality,political"
260,APPROXIMATE,"Brno, Czechia",ChIJEVE_wDqUEkcRsLEUZg-vAAQ,"Brno, Czechoslovakia",49.1950602,16.6068371,1,,OK,"locality,political"
261,APPROXIMATE,"7050 Arosa, Switzerland",ChIJ3T5UiFW8hEcRKMrhXh0MT1I,"Arosa, Graubunden, Switzerland",46.7823704,9.6799111,1,7050,OK,"locality,political"
262,APPROXIMATE,"7050 Arosa, Switzerland",ChIJ3T5UiFW8hEcRKMrhXh0MT1I,"Arosa, Graubunden, Switzerland",46.7823704,9.6799111,1,7050,OK,"locality,political"
263,APPROXIMATE,"Basel, Switzerland",ChIJTzBpJ8dJkEcRkIpt83DrHDY,"Basel, Switzerland",47.5595986,7.5885761,1,,OK,"locality,political"
264,APPROXIMATE,"7050 Arosa, Switzerland",ChIJ3T5UiFW8hEcRKMrhXh0MT1I,"Arosa, Graubunden, Switzerland",46.7823704,9.6799111,1,7050,OK,"locality,political"
265,APPROXIMATE,"7050 Arosa, Switzerland",ChIJ3T5UiFW8hEcRKMrhXh0MT1I,"Arosa, Graubunden, Switzerland",46.7823704,9.6799111,1,7050,OK,"locality,political"
266,APPROXIMATE,"Prague, Czechia",ChIJi3lwCZyTC0cRkEAWZg-vAAQ,"Prague, Czechoslovakia",50.0755381,14.4378005,1,,OK,"locality,political"
