,PKNAME,LOCATION,HEIGHTM,HIMAL,PYEAR,PSUMMITERS,firstsummitdate,latitude,longitude
328,Kanta Gaton,Kanjiroba Himal (SE of Phoksumdo Tal),5910,10,2009,"Jean-Rene Minelli, Abel Minelli, Eienne Minelli, Sarah Minelli, Pemba Jangbu Sherpa",Aug 16 2009,29.103333,82.995833
329,Kaptang,Kanti Himal (NW of Kanti Himal peak on Tibetan border),5965,11,2009,"Tamotsu Ohnishi, Toshitsugi Irizawa, Gombu Sherpa",Jun 09 2009,29.926389,82.575556
330,Roma,Saipal Himal (SW of Saipal),5407,20,0,Unclimbed?,,29.798611,81.345278
331,Ripimo Shar,Rolwaling Himal (S of Dingjung Ri on Tibetan border),6647,19,1952,"Tom Bourdillon, Ray Colledge",May 29 1952,27.873056,86.518056
332,Tsisima,Janak Himal (WSW of Janak Chuli),6196,6,1963,"Motohiko Kogo, Kunga Norbu",Jun 03 1963,27.843611,88.152778
333,Tawa,Damodar Himal (NNE of Yakawa Kang),6110,3,2010,"Mikio Iga, Kazuya Fujikura, Chhongba Sherpa, Lhakpa Sherpa",Oct 21 2010,,
334,Urkema,Langtang Himal (W of Ganja La),5890,13,2007,15 international scout students and 6 Sherpas,Sep 12 2007,28.166389,85.533611
335,Manapathi NW,"Dhaulagiri Himal (SSW of Dhaulagiri I, NW of Manapathi)",6384,4,1977,"Reinhold Messner, Leo Dickinson, Eric Jones, Otto Wiedemann",Apr 20 1977,28.645556,83.458333
336,Lunag Ri,Rolwaling Himal (SW of Nangpa La on Tibetan border),6895,19,0,Unclimbed,,28.050556,86.551111
337,Jasemba Goth,Khumbu Himal (NW of Pasang Lhamu Chuli),6730,12,1964,"Georg Huber, Fritz Stammberger",Apr 08 1964,28.087222,86.605
338,Gojung,Kanti Himal (WNW of Kanti Himal peak on Tibetan border),6310,11,2011,"Mick Fowler, Dave Turnbull",Oct 19 2011,29.847895,82.622778
339,Nangamari II,Ohmi Kangri Himal (S of Nangamari I),6209,6,2016,"Tsuneo Shigehiro, Kensuke Iwai, Kiyo Kuroda, Shiro Matsunaka, Yusuke Morimoto, Kanji Totegi, Miyoko Nagase, Masayuki Takenaka, Saori Tatsuno",Oct 17 2016,27.891389,87.866667
340,Dragmorpa Ri,Langtang Himal (SW of Tilman's Col on Tibetan border),6185,13,2013,Roman Gretzky,May 30 2013,28.325278,85.666111
341,Syaokang,Ohmi Kangri Himal (SW of Ohmi Kangri near Tibetan border),5929,6,2012,"John Cocks, Martin Hunter, Geoffrey Lamarche, Paul Maxim, Nick Schearer",Oct 25 2012,27.863889,87.919444
342,Bijora Hiunchuli,Jagdula Lekh (S of Kande Huinchuli),6111,10,0,Unclimbed,,29.291944,82.530833
343,Chhuboche,Damodar Himal (NNE of Pisang Peak),5606,3,2013,"Brian Jackson, Hugh Wrightson, Pasang Sherpa, Tendi Wangya",Nov 16 2013,28.720278,84.2375
344,Lunag West,Rolwaling Himal (W of Lunag I on Tibetan border),6492,19,2013,"Scott Adamson, Chris Wright",Oct 22 2013,28.05,86.536
345,Domo,Jongsang Himal (SE of Jongsong on Indian border),7447,7,1930,"Guenter Dyhrenfurth, Lewa Sherpa",Jun 08 1930,27.8833,88.15
346,Lunag II,Rolwaling Himal (SW of Nangpa La near Tibetan border),6812,19,2010,"Mathieu Detrie, Max Belleville, Mathiew Maynadier, Sebastien Ratel",Oct 26 2010,,
347,Triangle Peak,Jugal Himal (NNW of Dome Blanc on Tibetan border),6484,8,2013,"Sebastien Moatti, Max Bonniot",Oct 09 2013,,
348,Kasi Dalpha,Jagdula Lekh (S of Kande Huinchuli),6386,10,0,Unclimbed,,29.283056,82.554722
349,Narphu,"Damodar Himal (WNW of Pisang Peak, E of Chulu East Peak)",5921,3,2014,"Brian Jackson, Heather Bentley, Catherine Husted, Dawn Richardson, James Salt, Rhiannon Thomson, Mingma Dorje Sherpa, Pasang Sherpa Shikhar Pandey",Nov 22 2014,28.659722,84.174444
350,Pota Himal North,Dhaulagiri Himal (NE of Putha Hiunchuli),6182,4,2008,Francois Damilano,May 09 2008,28.775833,83.1975
351,Pangbuk North,Rolwaling Himal (NE of Pangbuk Ri on Tibetan border),6478,19,2013,"Scott Adamson, Christopher Wright",Nov 01 2013,,
352,Mustang Himal,Mustang Himal (S of Mansail on Tibetan border),6195,16,2014,"Melissa Arnot, Ben Jones, Jon Mancuso",Nov 02 2014,29.286111,83.81
353,Mansail,Mustang Himal (NW of Lo Manthang on Tibetan border),6235,16,2014,"Yukiko Inoue, Eri Hasegawa, Mariko Nakamura, Kei Taniguchi",Sep 29 2014,29.301944,83.810278
354,Chhochenphu Himal,Ohmi Kangri Himal (SW of Pabuk Kang near Tibetan border),6260,6,0,Unclimbed,,27.831944,87.767222
355,Tankya I,Kanti Himal (NE of Mariyang on Tibetan border),6305,11,0,Unclimbed,,29.706111,82.916944
356,Gorakh Khang,Gorakh Himal (ENE of Simikot on Tibetan border),6254,17,0,Unclimbed,,30.044167,82.3375
357,Raungsiyar,Rolwaling Himal (N of Pimu),6224,19,2015,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",Oct 04 2015,27.907778,86.559444
358,Langdak,Rolwaling Himal (N of Raungsiyar and Pimu),6220,19,2015,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",Oct 05 2015,27.916944,86.563611
359,Takargo East,Rolwaling Himal (ESE of Takargo),6152,19,2015,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",Oct 06 2015,27.871944,86.523333
360,Omitso Go,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),6332,19,0,Unclimbed,,27.915278,86.458056
361,Chhopa Bamare,Rolwaling Himal (NW of Lamabagar on Tibetan border),6109,19,0,Unclimbed,,28.057222,86.091944
362,Yalung Kang West,Kangchenjunga Himal (W summit of Yalung Kang),8077,9,0,Unclimbed,,27.706111,88.125556
363,Kangchenjunga North,Kangchenjunga Himal (small knob north of Main summit),7938,9,0,Unclimbed?,,27.7024914,88.147535
364,Kangbachen East,Kangchenjunga Himal (plateau SE of Kangbachen?),7780,9,0,Unclimbed,,27.7166,88.1105
365,Herzog Peak,Annapurna Himal (WSW of Roc Noir),7555,1,0,Climbed?,,28.609167,83.860278
366,Gangapurna West,Annapurna Himal (W of Gangapurna),7140,1,0,Unclimbed?,,28.601111,83.943889
367,Chamar,Shringi Himal (SSE of Chamar),7161,5,0,Unclimbed?,,28.555278,84.946667
368,Nepal Gap Peak,Kangchenjunga Himal (ENE of Gimmegela on Indian border),7007,9,0,Unclimbed?,,27.746389,88.180833
369,Gaurishankar South,Rolwaling Himal (S of Gaurishankar),7010,19,1979,"Peter Boardman, Pemba Lama, Timothy Leach, Guy Neithardt",Nov 09 1979,27.95,86.3333333
370,Burke Kang,Khumbu Himal (ENE of Hungchhi on Tibetan border),6942,12,0,Unclimbed,,28.036944,86.773889
371,Himlung East,Peri Himal (E of Himlung Himal on Tibetan border),6932,18,2017,"Paulo Grobel, Isabelle Guillaume, Rajan Lama Bhote, Jangbu Sherpa",May 08 2017,28.769167,84.438889
372,Yangra Kangri South,Ganesh Himal (NW of Ganesh III on Tibetan border),6863,5,0,Unclimbed?,,28.346389,85.11
373,Nup La Kang,Khumbu Himal (N of Nup La on Tibetan border),6861,12,0,Unclimbed,,28.074167,86.766944
374,Chumbu,Khumbu Himal (WSW of Khangri Shar near Tibetan border),6859,12,0,Unclimbed,,28.018889,86.7925
375,Phu Kang Go,Peri Himal (SE of Cheo on Tibetan border),6767,18,2011,"Paulo Grobel, Benoit Van Lerberghe",Oct 27 2011,28.734722,84.493889
376,Guras,Guras Himal (NE of Nampa on Tibetan border),6744,2,0,Unclimbed,,30.043056,81.108889
377,Tharke Kang,Khumbu Himal (S of Nup La on Tibetan border),6710,12,0,Unclimbed,,28.043889,86.751667
378,Hulang Go,Peri Himal (WNW of Ratna Chuli on Tibetan border),6687,18,0,Unclimbed,,28.872778,84.345556
379,Shershon Northwest,Makalu Himal (NW of Shershon on Tibetan border),6682,14,1980,"Doug Scott, Roger Baxter-Jones, Georges Bettembourg",Oct 15 1980,27.855278,87.110833
380,Agole East,Rolwaling Himal (E of Tengi Ragi Tau),6675,19,0,Unclimbed,,27.850278,86.563611
381,Rolwaling Kang,Rolwaling Himal (NNE of Tarkago),6664,19,2016,"Yasuhiro Hanatani, Yuichiro Iida, Maho Ishio, Yohei Kayama, Keisuke Tsunoda, Takuya Yoshikawa",Oct 19 2016,27.8975,86.523056
382,Yarwa,Guras Himal (NW of Nampa on Tibetan border),6644,2,0,Unclimbed,,30.054167,81.0925
383,Yangri,Jugal Himal (N of Phurbi Chhyachu on Tibetan border),6535,8,0,Unclimbed,,28.142778,85.873889
384,Lachama North,Changla Himal (N of Lachama Chuli on Tibetan border),6628,17,0,Unclimbed,,30.143333,82.2
385,Changdi,Palchung Himal (SE of Kanti Himal peak on Tibetan border),6623,11,0,Unclimbed,,29.719167,82.798611
386,Goldum Peak,Jugal Himal,6632,8,0,Unclimbed,,28.328056,85.729167
387,Thoche Go,Peri Himal (SE of Cheo Himal on Tibetan border),6602,18,0,Unclimbed,,28.757778,84.459722
388,Kangchung Shar,Khumbu Himal (NE of Gokyo Lake),6063,12,1984,Francek Knez,Nov 01 1984,27.983611,86.739722
389,Phu Kang North,Peri Himal (N of Cheo Himal on Tibetan border),6580,18,0,Unclimbed,,28.820833,84.437778
390,Pethangtse East,Khumbu Himal (ESE of Pethangtse on Tibetan border),6572,12,2008,"Andrew Hughes, Alistair Barnard, Nichcolas Beighton, Chris Fawcett, Daniel Greig-Smith, Benjamin Sherwood",May 16 2008,27.949444,87.036111
391,Phungi,Peri Himal (SE of Ratna Chuli on Tibetan border),6524,18,0,Unclimbed,,28.83,84.402778
392,Kanti Himal East,Kanti Himal (ENE of Kanti Himal on Tibetan border),6516,11,0,Unclimbed,,29.853056,82.702222
393,Jarkya,Manaslu Himal (N of Larkya La on Tibetan border),6473,15,0,Unclimbed,,28.741944,84.526944
394,Mariyang West,Kanti Himal (WSW of Mariyang on Tibetan border),6455,11,0,Unclimbed,,29.689444,82.828889
395,Mayonthang Kang,Kanti Himal (NW of Changdi Himal on Tibetan border),6449,11,0,Unclimbed,,29.769722,82.746667
396,Langju,Shringi Himal (S of Tobsar),6426,5,0,Unclimbed,,28.545833,85.055278
397,Jyachhung,Byas Risi Himal (NNW of Nampa on Tibetan border),6338,2,0,Unclimbed,,30.106389,81.085833
398,Gyala,Manaslu Himal (NNE of Larkya La on Tibetan border),6363,15,0,Unclimbed,,28.751944,84.558889
399,Dolma Kang,Rolwaling Himal (SE of Gaurishankar on Tibetan border),6332,19,0,Unclimbed?,,27.937222,86.350278
400,Kaipuchonam,Kanti Himal (WNW of Changdi on Tibetan border),6329,11,0,Unclimbed,,29.725556,82.783333
401,Langdung,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),6386,19,0,Unclimbed,,27.947778,86.484167
402,Dzanye II,Janak Himal (S of Danzye Peak),6318,6,2015,"Takanori Mashimo, Kotaro Myatsu, Kenta Kimura, Shinnosuke Ashikari, Shun Katsurai, Takehiro Nozawa",Oct 04 2015,27.902222,88.041111
403,Pama Himal,Shringi Himal (N of Chamar on Tibetan border),6300,5,0,Unclimbed,,28.580278,84.951111
404,Peri Himal,Peri Himal (SE of Cheo Himal on Tibetan border),6296,18,0,Unclimbed,,28.747222,84.481667
405,Takla Kang,Kanti Himal (SSE of Kanti Himal peak on Tibetan border),6276,11,0,Unclimbed,,29.761111,82.695278
406,Kogi Khang North,Kanti Himal (ESE of Kanti Himal peak on Tibetan border),6275,11,0,Unclimbed,,29.814444,82.739167
407,Asajya Tuppa,Gorakh Himal (ENE of Simikot on Tibetan border),6265,17,0,Unclimbed,,30.0625,82.279722
408,Kojichuwa South,Kanti Himal (SW of Kojichuwa Chuli on Tibetan border),6264,11,0,Unclimbed,,29.848611,82.631111
409,Pankar Himal,Manaslu Himal (ENE of Samagaon on Tibetan border),6264,15,0,Unclimbed,,28.616389,84.7425
410,Saula,Manaslu Himal (ENE of Samagaon on Tibetan border),6235,15,0,Unclimbed,,28.613889,84.756111
411,Yala Chuli,Palchung Himal (SE of Changdi on Tibetan border),6236,11,0,Unclimbed,,29.689444,82.828889
412,Rhimbu,Shringi Himal (S of Tobsar),6210,5,0,Unclimbed,,28.559444,85.0475
413,Sanctuary Peak,Kanjiroba Himal (N of Kanjiroba North),6207,10,0,Unclimbed,,29.423889,82.625833
414,Lasa,Byas Risi Himal (NNW of Nampa on Tibetan border),6189,2,0,Unclimbed,,30.135833,81.084167
415,Peri,Langtang Himal (SE of Langtang Ri on Tibetan border),6174,13,2016,"Werner Frei, Pasang Sherpa, Sandesh Sherpa",Dec 06 2016,28.353056,85.723611
416,Dwijen Himal,Shringi Himal (NE of Ghap village on Tibetan border),6169,5,0,Unclimbed,,28.593333,84.903333
417,Jabou Ri,Rolwaling Himal (S of Tarkago),6166,19,2015,"Ryan Waters, Eric Larsen",Sep 15 2015,27.853889,86.515278
418,Beding Go,Rolwaling Himal (N of Beding village on Tibetan border),6125,19,2015,"Mingma Tshering/Tsiri Sherpa, Dean Carriere, Dino De Almeida Camargo, Cian O'Brolchain, Nima Gyalzen Sherpa, Pasang Tenzing Sherpa, Tshering Pemba Sherpa",Oct 21 2015,27.925833,86.393056
419,Takphu North,Nalakankar Himal (on W Nepal/Tibetan border),6142,17,2016,"Herbert Bader, Karl Henge, Tassilo Hock, Josef Knitz, Annabelle Rochelt, Alois Sinz, Bhai Krishna Khadka",Oct 12 2016,30.303611,81.422222
420,Bhulu Lhasa,Kanjiroba Himal (NNW of Kanjiroba North),6102,10,1964,"John Tyson, John Cole, Robert Kendall, Mingma Sherpa",Oct 31 1964,29.441389,82.599444
421,Lhonak,Janak Himal (WNW of Drohmo),6070,6,0,Unclimbed,,27.831944,88.057222
422,Rolmi,Shringi Himal (S of Tobsar),6056,5,0,Unclimbed,,28.567778,85.050278
423,Aichyn,Chandi Himal (SW of Changwathang),6055,17,2015,"Hiroki Senda, et al",Sep 03 2015,30.270833,81.859722
424,Ardang,Phupharka Himal (NW of Simikot),6034,17,0,Unclimbed,,30.198889,81.623333
425,Lungchhung,Palchung Himal (NE of Kanjiroba on Tibetan border),6043,11,0,Unclimbed,,29.628333,83.122222
426,Khung,Palchung Himal (NE of Kanjiroba on Tibetan border),6024,11,0,Unclimbed,,29.624722,83.144167
427,Chandi Himal,Chandi Himal (NE of Simikot on Tibetan border),6142,17,0,Unclimbed,,30.359167,81.951389
428,Kali Himal,Khumbu Himal (NW of Baruntse),6985,12,1983,"Joost Ubblink, Edwin Van Nieuwkerk",Apr 05 1983,27.877222,86.975556
429,Dhechyan Kang,Damodar Himal (ESE of Gaugiri on Tibetan border),6019,3,0,Unclimbed,,29.035833,84.251944
430,Ek Rate Danda,"Khumbu Himal (in Hongku Valley, S of Chamlang)",6213,12,0,Unclimbed,,27.708889,87.005
431,Ghyun Himal I,Mustang Himal (N of Ghyun Khola on Tibetan border),6110,16,0,Unclimbed,,29.244167,83.781944
432,Gorakh Himal,Gorakh Himal (NE of Simikot on Tibetan border),6198,17,0,Unclimbed,,24.816667,82.313889
433,Hongku,"Khumbu Himal (in Hongku Valley, N of Chamlang)",6764,12,0,Unclimbed,,27.826,86.977
434,Karko,Saipal Himal (WNW of Saipal),6015,20,0,Unclimbed?,,29.920278,81.219167
435,Karsang Kang,Damodar Himal (NE of Saribung),6225,3,2008,"Paulo Grobel, Mary Cler",Oct 11 2008,28.933333,84.169444
436,Khayang,Manaslu Himal (E of Samdo Peak on Tibetan border),6186,15,0,Unclimbed?,,28.633611,84.715278
437,Gyalzen Peak,Jugal Himal (SE of Leonpo Gang),6151,8,0,Unclimbed?,,28.183056,85.838333
438,Lungsampa,Khumbu Himal (S of Nangpai Gosum II),6500,12,2014,"Jordi Corominas, Jordi Tosas",,28.026111,86.621944
439,Mera South,Khumbu Himal (SW of Mera),6064,12,0,Unclimbed?,,27.70916,86.868289
440,Pashuwo,Ganesh Himal (N of Lampo on Tibetan border),6177,5,0,Unclimbed,,28.533056,85.162222
441,Sat Peak,Ohmi Kangri Himal (S of Sharphu range),6164,6,0,Unclimbed?,,27.711111,87.914167
442,Tso Karpo,"Kanjiroba Himal (E of Kanjiroba, W of Tso Karpo Kang)",6518,10,0,Unclimbed,,29.366667,82.714167
443,Sharphu II,Ohmi Kangri Himal (WNW of Kangchenjunga),6328,6,0,Unclimbed?,,27.731111,87.907222
444,Sharphu III,Ohmi Kangri Himal (WNW of Kangchenjunga),6220,6,0,Unclimbed?,,27.711667,87.914722
445,Sharphu IV,Ohmi Kangri Himal (WNW of Kangchenjunga),6172,6,0,Unclimbed?,,27.745556,87.919167
446,Sharphu V,Ohmi Kangri Himal (WNW of Kangchenjunga),6158,6,0,Unclimbed?,,27.773889,87.925556
447,Sharphu VI,Ohmi Kangri Himal (WNW of Kangchenjunga),6076,6,0,Unclimbed?,,27.697222,87.916667
448,Mansail South,Mustang Himal (S of Mansail on Tibetan border),6248,16,0,Unclimbed,,29.294444,83.810278
449,Gave Ding,Changla Himal (N of Lachama Chuli on Tibetan border),6581,17,2015,"Michael Fowler, Paul Ramsden",Oct 22 2015,30.125833,82.165833
450,Ngojumba Kang III,Khumbu Himal (NE of Cho Oyu on Tibetan border),7681,12,0,Unclimbed,,28.107,86.713
451,Kimshung,Langtang Himal (NE of Langtang Lirung),6781,13,0,,,28.2725,85.552778
452,Pawar Central,Pawar Himal (N of Larkya La),6621,18,2015,"Paulo Grobel, Frank Bonhomme, Christian Hurgon, Dhan Bahadur Magar, Dipen  Nuppa Bhote, Jangbu Sherpa, Rajan Lama Bhote",May 09 2015,,
453,Nagoru,Peri Himal (NW of Himlung Himal),6165,18,2016,"Wolfgang Drexler, Lawang Tamang",Oct 21 2016,28.815833,84.281944
454,Saldim,Makalu Himal (ENE of Shershon village on Tibetan border),6374,14,0,Unclimbed,,27.821389,87.173056
455,Langtang Yubra,Langtang Himal (ENE of Langtang Lirung),6048,13,0,Unclimbed?,,28.27722222,85.56861111
456,Larkya Peak,Manaslu Himal (N of Manaslu North),6416,15,2017,,Sep 27 2017,28.66361111,84.53555556
